"","Pays","T_2","p_value"
"1","Afghanistan","1.599","0.4496"
"2","Africa","14.371","8e-04"
"3","Albania","4.921","0.0854"
"4","Algeria","2.609","0.2714"
"5","Andorra","4.773","0.084"
"6","Angola","0.139","0.9328"
"7","Antigua and Barbuda","0.146","0.93"
"8","Argentina","0.146","0.9294"
"9","Armenia","10.703","0.0047"
"10","Aruba","0.308","0.867"
"11","Asia","99.288","0"
"12","Australia","16.357","3e-04"
"13","Austria","14.602","7e-04"
"14","Azerbaijan","8.743","0.0126"
"15","Bahamas","1.518","0.4681"
"16","Bahrain","10.094","0.0064"
"17","Bangladesh","0.916","0.6325"
"18","Barbados","2.554","0.2789"
"19","Belarus","19.117","1e-04"
"20","Belgium","4.993","0.0798"
"21","Belize","0.499","0.7716"
"22","Bermuda","0.231","0.8882"
"23","Bhutan","4.029","0.1334"
"24","Bolivia","3.386","0.184"
"25","Bonaire Sint Eustatius and Saba","8.213","0.0165"
"26","Bosnia and Herzegovina","0.012","0.9948"
"27","Brazil","1.498","0.4727"
"28","Brunei","2.121","0.3463"
"29","Bulgaria","6.433","0.0401"
"30","Burkina Faso","3.034","0.2234"
"31","Burundi","1.25","0.533"
"32","Cambodia","12.878","0.0016"
"33","Canada","3.568","0.168"
"34","Cape Verde","2.861","0.2392"
"35","Chile","9.327","0.0094"
"36","China","7.659","0.0217"
"37","Colombia","10.34","0.0057"
"38","Comoros","6.494","0.0372"
"39","Congo","1.979","0.3854"
"40","Costa Rica","3.946","0.1362"
"41","Croatia","7.417","0.0245"
"42","Cuba","39.368","0"
"43","Curacao","2.041","0.3604"
"44","Cyprus","16.007","3e-04"
"45","Czechia","8.062","0.0178"
"46","Democratic Republic of Congo","0.757","0.6892"
"47","Denmark","8.889","0.0117"
"48","Djibouti","16.094","2e-04"
"49","Dominican Republic","0.162","0.9224"
"50","Ecuador","7.15","0.0232"
"51","El Salvador","1.761","0.4144"
"52","Eritrea","11.361","0.0034"
"53","Estonia","18.337","1e-04"
"54","Eswatini","5.881","0.0528"
"55","Ethiopia","11.719","0.0029"
"56","Europe","18.83","1e-04"
"57","European Union","11.449","0.0033"
"58","Faeroe Islands","8.91","0.0096"
"59","Fiji","2.103","0.3522"
"60","Finland","11.423","0.0033"
"61","France","0.498","0.7795"
"62","French Polynesia","2.449","0.2958"
"63","Gabon","0.925","0.6216"
"64","Georgia","1.13","0.5684"
"65","Germany","5.62","0.0602"
"66","Ghana","6.149","0.0464"
"67","Gibraltar","15.726","4e-04"
"68","Greece","16.425","3e-04"
"69","Greenland","2.612","0.2574"
"70","Grenada","2.216","0.3358"
"71","Guatemala","3.755","0.153"
"72","Guinea-Bissau","7.49","0.0224"
"73","Guyana","9.24","0.0099"
"74","Haiti","0.629","0.7268"
"75","High income","13.666","0.0011"
"76","Hong Kong","2.122","0.3461"
"77","Hungary","1.511","0.4632"
"78","Iceland","12.349","0.0036"
"79","India","3.445","0.1786"
"80","Indonesia","1.135","0.567"
"81","Iraq","9.375","0.0092"
"82","Ireland","21.69","0"
"83","Isle of Man","2.302","0.3108"
"84","Israel","6.331","0.0422"
"85","Italy","3.645","0.1616"
"86","Jamaica","2.573","0.2762"
"87","Japan","33.564","0"
"88","Jordan","1.412","0.5034"
"89","Kazakhstan","4.912","0.0858"
"90","Kenya","9.038","0.0109"
"91","Kiribati","6.385","0.0464"
"92","Kosovo","6.05","0.0486"
"93","Kuwait","24.557","0"
"94","Kyrgyzstan","1.525","0.4665"
"95","Laos","2.36","0.3073"
"96","Latvia","27.235","0"
"97","Lebanon","1.522","0.4671"
"98","Lesotho","0.974","0.6306"
"99","Liberia","0.933","0.626"
"100","Libya","28.853","0"
"101","Liechtenstein","3.543","0.1701"
"102","Lithuania","1.085","0.5814"
"103","Low income","0.421","0.8103"
"104","Lower middle income","17.737","1e-04"
"105","Luxembourg","7.209","0.0272"
"106","Madagascar","0.007","0.998"
"107","Malawi","3.885","0.1434"
"108","Malaysia","21.142","0"
"109","Maldives","12.581","0.0019"
"110","Mali","0.207","0.9016"
"111","Malta","5.491","0.0642"
"112","Mauritania","1.435","0.488"
"113","Mauritius","0.037","0.9844"
"114","Mexico","0.689","0.7087"
"115","Monaco","5.745","0.0594"
"116","Mongolia","8.426","0.0148"
"117","Montenegro","6.489","0.039"
"118","Morocco","17.035","2e-04"
"119","Mozambique","2.451","0.2937"
"120","Myanmar","19.548","1e-04"
"121","Namibia","1.402","0.496"
"122","Nepal","1.682","0.4313"
"123","Netherlands","3.558","0.1688"
"124","New Caledonia","1.92","0.3854"
"125","New Zealand","5.151","0.0761"
"126","Niger","4.132","0.1308"
"127","Nigeria","0.807","0.6681"
"128","North America","2.79","0.2478"
"129","North Macedonia","9.672","0.0079"
"130","Norway","0.545","0.7616"
"131","Oceania","31.464","0"
"132","Oman","1.621","0.4476"
"133","Pakistan","9.476","0.0088"
"134","Palestine","2.191","0.3294"
"135","Panama","10.474","0.0053"
"136","Papua New Guinea","3.836","0.1492"
"137","Paraguay","1.241","0.544"
"138","Peru","0.566","0.7536"
"139","Philippines","3.937","0.1397"
"140","Poland","18.842","1e-04"
"141","Portugal","6.203","0.045"
"142","Qatar","22.296","0"
"143","Romania","2.334","0.3113"
"144","Russia","24.994","0"
"145","Rwanda","0.459","0.7948"
"146","Saint Kitts and Nevis","2.961","0.234"
"147","Saint Lucia","0.502","0.778"
"148","Saint Pierre and Miquelon","2.991","0.2276"
"149","Samoa","0.981","0.6202"
"150","San Marino","1.639","0.4422"
"151","Saudi Arabia","0.537","0.7646"
"152","Senegal","0.378","0.8277"
"153","Serbia","52.819","0"
"154","Seychelles","5.157","0.0772"
"155","Sierra Leone","2.598","0.2688"
