"","Pays","T_2","p_value"
"1","Afghanistan",1.599,0.4496
"2","Albania",4.921,0.0854
"3","Algeria",2.609,0.2714
"4","Andorra",4.773,0.084
"5","Angola",0.139,0.9328
"6","Antigua and Barbuda",0.146,0.93
"7","Argentina",0.146,0.9294
"8","Aruba",0.308,0.867
"9","Bahamas",1.518,0.4681
"10","Bangladesh",0.916,0.6325
"11","Barbados",2.554,0.2789
"12","Belgium",4.993,0.0798
"13","Belize",0.499,0.7716
"14","Bermuda",0.231,0.8882
"15","Bhutan",4.029,0.1334
"16","Bolivia",3.386,0.184
"17","Bosnia and Herzegovina",0.012,0.9948
"18","Brazil",1.498,0.4727
"19","Brunei",2.121,0.3463
"20","Burkina Faso",3.034,0.2234
"21","Burundi",1.25,0.533
"22","Canada",3.568,0.168
"23","Cape Verde",2.861,0.2392
"24","Congo",1.979,0.3854
"25","Costa Rica",3.946,0.1362
"26","Curacao",2.041,0.3604
"27","Democratic Republic of Congo",0.757,0.6892
"28","Dominican Republic",0.162,0.9224
"29","El Salvador",1.761,0.4144
"30","Eswatini",5.881,0.0528
"31","Fiji",2.103,0.3522
"32","France",0.498,0.7795
"33","French Polynesia",2.449,0.2958
"34","Gabon",0.925,0.6216
"35","Georgia",1.13,0.5684
"36","Germany",5.62,0.0602
"37","Greenland",2.612,0.2574
"38","Grenada",2.216,0.3358
"39","Guatemala",3.755,0.153
"40","Haiti",0.629,0.7268
"41","Hong Kong",2.122,0.3461
"42","Hungary",1.511,0.4632
"43","India",3.445,0.1786
"44","Indonesia",1.135,0.567
"45","Isle of Man",2.302,0.3108
"46","Italy",3.645,0.1616
"47","Jamaica",2.573,0.2762
"48","Jordan",1.412,0.5034
"49","Kazakhstan",4.912,0.0858
"50","Kyrgyzstan",1.525,0.4665
"51","Laos",2.36,0.3073
"52","Lebanon",1.522,0.4671
"53","Lesotho",0.974,0.6306
"54","Liberia",0.933,0.626
"55","Liechtenstein",3.543,0.1701
"56","Lithuania",1.085,0.5814
"57","Low income",0.421,0.8103
"58","Madagascar",0.007,0.998
"59","Malawi",3.885,0.1434
"60","Mali",0.207,0.9016
"61","Malta",5.491,0.0642
"62","Mauritania",1.435,0.488
"63","Mauritius",0.037,0.9844
"64","Mexico",0.689,0.7087
"65","Monaco",5.745,0.0594
"66","Mozambique",2.451,0.2937
"67","Namibia",1.402,0.496
"68","Nepal",1.682,0.4313
"69","Netherlands",3.558,0.1688
"70","New Caledonia",1.92,0.3854
"71","New Zealand",5.151,0.0761
"72","Niger",4.132,0.1308
"73","Nigeria",0.807,0.6681
"74","North America",2.79,0.2478
"75","Norway",0.545,0.7616
"76","Oman",1.621,0.4476
"77","Palestine",2.191,0.3294
"78","Papua New Guinea",3.836,0.1492
"79","Paraguay",1.241,0.544
"80","Peru",0.566,0.7536
"81","Philippines",3.937,0.1397
"82","Romania",2.334,0.3113
"83","Rwanda",0.459,0.7948
"84","Saint Kitts and Nevis",2.961,0.234
"85","Saint Lucia",0.502,0.778
"86","Saint Pierre and Miquelon",2.991,0.2276
"87","Samoa",0.981,0.6202
"88","San Marino",1.639,0.4422
"89","Saudi Arabia",0.537,0.7646
"90","Senegal",0.378,0.8277
"91","Seychelles",5.157,0.0772
"92","Sierra Leone",2.598,0.2688
"93","Singapore",0.873,0.6463
"94","Slovakia",3.415,0.1813
"95","Solomon Islands",0.628,0.725
"96","South America",4.335,0.1145
"97","South Sudan",0.421,0.8074
"98","Spain",2.165,0.3302
"99","Sudan",2.165,0.3318
"100","Suriname",1.576,0.4547
"101","Sweden",5.79,0.0586
"102","Thailand",0.948,0.6225
"103","Timor",0.827,0.6644
"104","Togo",0.688,0.7091
"105","Tunisia",0.248,0.886
"106","Turks and Caicos Islands",3.674,0.1536
"107","Uganda",4.38,0.1119
"108","Ukraine",1.83,0.3944
"109","United States",3.034,0.2194
"110","Upper middle income",3.76,0.1526
"111","Uruguay",4.307,0.1161
"112","Venezuela",1.206,0.5472
"113","Yemen",0.271,0.8746
"114","Zambia",4.704,0.0952
"115","Zimbabwe",1.974,0.3727
