Date;Pays;Infections;Deces;Guerisons;TauxDeces;TauxGuerison;TauxInfection
2022-04-14;Albanie;274320;3494;0;1.27;0.00;98.73
2022-04-14;Bosnie-Herzégovine;376339;15744;0;4.18;0.00;95.82
2022-04-14;Bahreïn;561525;1473;0;0.26;0.00;99.74
2022-04-14;Bolivie;903677;21901;0;2.42;0.00;97.58
2022-04-14;Bélarus;971649;6885;0;0.71;0.00;99.29
2022-04-14;Congo (Brazzaville);24079;385;0;1.60;0.00;98.40
2022-04-14;Chine;487060;4638;0;0.95;0.00;99.05
2022-04-14;Danemark;3103870;5966;0;0.19;0.00;99.81
2022-04-14;Égypte;511977;24522;0;4.79;0.00;95.21
2022-04-14;Fidji;64502;862;0;1.34;0.00;98.66
2022-04-14;Royaume-Uni;21866343;171561;0;0.78;0.00;99.22
2022-04-14;Gibraltar;17236;101;0;0.59;0.00;99.41
2022-04-14;Grèce;3206948;28344;0;0.88;0.00;99.12
2022-04-14;Hong-Kong;1194295;8948;0;0.75;0.00;99.25
2022-04-14;Indonésie;6036909;155746;0;2.58;0.00;97.42
2022-04-14;Iraq;2322551;25188;0;1.08;0.00;98.92
2022-04-14;Jordanie;1694957;14055;0;0.83;0.00;99.17
2022-04-14;Comores;8100;160;0;1.98;0.00;98.02
2022-04-14;Kazakhstan;1394143;19013;0;1.36;0.00;98.64
2022-04-14;Libéria;7402;294;0;3.97;0.00;96.03
2022-04-14;Maroc;1164189;16061;0;1.38;0.00;98.62
2022-04-14;Îles Marshall;7;0;0;0.00;0.00;100.00
2022-04-14;Maldives;178320;298;0;0.17;0.00;99.83
2022-04-14;Nouvelle-Calédonie;60521;312;0;0.52;0.00;99.48
2022-04-14;Norvège;1418431;2783;0;0.20;0.00;99.80
2022-04-14;Panama;767835;8178;0;1.07;0.00;98.93
2022-04-14;Pologne;5981486;115736;0;1.93;0.00;98.07
2022-04-14;Palaos;4122;6;0;0.15;0.00;99.85
2022-04-14;Russie;17767760;365038;0;2.05;0.00;97.95
2022-04-14;Suède;2491980;18506;0;0.74;0.00;99.26
2022-04-14;Sierra Leone;7677;125;0;1.63;0.00;98.37
2022-04-14;Sao Tomé-et-Principe;5948;73;0;1.23;0.00;98.77
2022-04-14;Taïwan;29593;854;0;2.89;0.00;97.11
2022-04-14;Uruguay;894984;7188;0;0.80;0.00;99.20
2022-04-14;Yémen;11815;2147;0;18.17;0.00;81.83
2022-04-14;Argentine;9057923;128285;0;1.42;0.00;98.58
2022-04-14;Azerbaïdjan;792305;9704;0;1.22;0.00;98.78
2022-04-14;Bulgarie;1147812;36756;0;3.20;0.00;96.80
2022-04-14;Brunéi Darussalam;139278;216;0;0.16;0.00;99.84
2022-04-14;Botswana;305859;2688;0;0.88;0.00;99.12
2022-04-14;République Centrafricaine;14649;113;0;0.77;0.00;99.23
2022-04-14;Cameroun;119780;1927;0;1.61;0.00;98.39
2022-04-14;Cap-vert;55978;401;0;0.72;0.00;99.28
2022-04-14;Djibouti;15598;189;0;1.21;0.00;98.79
2022-04-14;Estonie;565839;2501;0;0.44;0.00;99.56
2022-04-14;Finlande;920692;3334;0;0.36;0.00;99.64
2022-04-14;Gabon;47591;303;0;0.64;0.00;99.36
2022-04-14;Ghana;161086;1445;0;0.90;0.00;99.10
2022-04-14;Guinée Équatoriale;15906;183;0;1.15;0.00;98.85
2022-04-14;Guyana;63349;1227;0;1.94;0.00;98.06
2022-04-14;Hongrie;1876946;45838;0;2.44;0.00;97.56
2022-04-14;Jamaïque;129108;2919;0;2.26;0.00;97.74
2022-04-14;Kiribati;3069;13;0;0.42;0.00;99.58
2022-04-14;Sri Lanka;662748;16494;0;2.49;0.00;97.51
2022-04-14;Libye;501834;6429;0;1.28;0.00;98.72
2022-04-14;Madagascar;64089;1390;0;2.17;0.00;97.83
2022-04-14;Macao;82;0;0;0.00;0.00;100.00
2022-04-14;Maurice;214860;985;0;0.46;0.00;99.54
2022-04-14;Namibie;157914;4021;0;2.55;0.00;97.45
2022-04-14;Pays-Bas;8185684;22762;0;0.28;0.00;99.72
2022-04-14;Oman;388763;4257;0;1.10;0.00;98.90
2022-04-14;Pakistan;1526952;30362;0;1.99;0.00;98.01
2022-04-14;Portugal;3709026;21970;0;0.59;0.00;99.41
2022-04-14;Serbie;1992677;15906;0;0.80;0.00;99.20
2022-04-14;Soudan;62057;4929;0;7.94;0.00;92.06
2022-04-14;Slovaquie;2498938;19643;0;0.79;0.00;99.21
2022-04-14;Soudan du sud;17362;138;0;0.79;0.00;99.21
2022-04-14;Tchad;7378;192;0;2.60;0.00;97.40
2022-04-14;Timor-Leste;22848;130;0;0.57;0.00;99.43
2022-04-14;États-Unis;80514639;987558;0;1.23;0.00;98.77
2022-04-14;Kosovo;227789;3138;0;1.38;0.00;98.62
2022-04-14;Autres;721;15;0;2.08;0.00;97.92
2022-04-14;Antigua-et-Barbuda;7523;135;0;1.79;0.00;98.21
2022-04-14;Antarctique;11;0;0;0.00;0.00;100.00
2022-04-14;Burkina Faso;20865;383;0;1.84;0.00;98.16
2022-04-14;Rép. Dém. du Congo;86748;1337;0;1.54;0.00;98.46
2022-04-14;Chili;3518800;57098;0;1.62;0.00;98.38
2022-04-14;Cuba;1098114;8519;0;0.78;0.00;99.22
2022-04-14;Allemagne;23182447;132688;0;0.57;0.00;99.43
2022-04-14;Équateur;865585;35513;0;4.10;0.00;95.90
2022-04-14;Éthiopie;470151;7509;0;1.60;0.00;98.40
2022-04-14;France;26584285;140615;0;0.53;0.00;99.47
2022-04-14;Guadeloupe;142573;940;0;0.66;0.00;99.34
2022-04-14;Guinée-Bissau;8175;170;0;2.08;0.00;97.92
2022-04-14;Haïti;30586;835;0;2.73;0.00;97.27
2022-04-14;Inde;43039023;521737;0;1.21;0.00;98.79
2022-04-14;Cambodge;136013;3055;0;2.25;0.00;97.75
2022-04-14;Koweït;630641;2555;0;0.41;0.00;99.59
2022-04-14;Liechtenstein;16865;84;0;0.50;0.00;99.50
2022-04-14;Lettonie;811056;5695;0;0.70;0.00;99.30
2022-04-14;Saint Martin;10176;63;0;0.62;0.00;99.38
2022-04-14;Mongolie;920044;2177;0;0.24;0.00;99.76
2022-04-14;Malte;87441;669;0;0.77;0.00;99.23
2022-04-14;Mozambique;225304;2200;0;0.98;0.00;99.02
2022-04-14;Nicaragua;18491;232;0;1.25;0.00;98.75
2022-04-14;Nouvelle-Zélande;808928;514;0;0.06;0.00;99.94
2022-04-14;Philippines;3682083;59891;0;1.63;0.00;98.37
2022-04-14;Palestine;656617;5656;0;0.86;0.00;99.14
2022-04-14;Roumanie;2877544;65285;0;2.27;0.00;97.73
2022-04-14;Seychelles;41234;164;0;0.40;0.00;99.60
2022-04-14;Suriname;79276;1325;0;1.67;0.00;98.33
2022-04-14;Trinité-et-Tobago;141155;3792;0;2.69;0.00;97.31
