"","Pays","T_2","P_value"
"1","Afghanistan","1.599","0.4496"
"2","Africa","14.371","8e-04"
"3","Albania","4.921","0.0854"
"4","Algeria","2.609","0.2714"
"5","Andorra","4.773","0.0948"
"6","Angola","0.139","0.9328"
"7","Anguilla","0.32","0.8494"
"8","Antigua and Barbuda","0.146","0.9332"
"9","Argentina","0.146","0.9294"
"10","Armenia","10.703","0.0047"
"11","Aruba","0.308","0.856"
"12","Asia","99.288","0"
"13","Australia","16.357","3e-04"
"14","Austria","14.602","7e-04"
"15","Azerbaijan","8.743","0.0126"
"16","Bahamas","1.518","0.4681"
"17","Bahrain","10.094","0.0064"
"18","Bangladesh","0.916","0.6325"
"19","Barbados","2.554","0.2789"
"20","Belarus","19.117","1e-04"
"21","Belgium","4.993","0.084"
"22","Belize","0.499","0.782"
"23","Benin","1.063","0.583"
"24","Bermuda","0.231","0.8966"
"25","Bhutan","4.029","0.1334"
"26","Bolivia","3.386","0.184"
"27","Bonaire Sint Eustatius and Saba","8.213","0.0165"
"28","Bosnia and Herzegovina","0.012","0.9952"
"29","Botswana","2.45","0.301"
"30","Brazil","1.498","0.4727"
"31","British Virgin Islands","1.036","0.5918"
"32","Brunei","2.121","0.3463"
"33","Bulgaria","6.433","0.0401"
"34","Burkina Faso","3.034","0.229"
"35","Burundi","1.25","0.5356"
"36","Cambodia","12.878","0.0016"
"37","Cameroon","1.766","0.4208"
"38","Canada","3.568","0.168"
"39","Cape Verde","2.861","0.2392"
"40","Cayman Islands","4.113","0.128"
"41","Central African Republic","0.237","0.8894"
"42","Chad","3.111","0.2122"
"43","Chile","9.327","0.0094"
"44","China","7.659","0.0217"
"45","Colombia","10.34","0.0057"
"46","Comoros","6.494","0.0414"
"47","Congo","1.979","0.373"
"48","Cook Islands","17.467","0"
"49","Costa Rica","3.946","0.1434"
"50","Croatia","7.417","0.0245"
"51","Cuba","39.368","0"
"52","Curacao","2.041","0.3604"
"53","Cyprus","16.007","3e-04"
"54","Czechia","8.062","0.0178"
"55","Democratic Republic of Congo","0.757","0.6814"
"56","Denmark","8.889","0.0117"
"57","Djibouti","16.094","0"
"58","Dominica","2.476","0.2896"
"59","Dominican Republic","0.162","0.9224"
"60","Ecuador","7.15","0.0262"
"61","Egypt","81.358","0"
"62","El Salvador","1.761","0.4034"
"63","Equatorial Guinea","0.715","0.6932"
"64","Eritrea","11.361","0.0034"
"65","Estonia","18.337","1e-04"
"66","Eswatini","5.881","0.0528"
"67","Ethiopia","11.719","0.0029"
"68","Faeroe Islands","8.91","0.0114"
"69","Falkland Islands","6.476","0.0398"
"70","Fiji","2.103","0.3544"
"71","Finland","11.423","0.0033"
"72","France","0.498","0.7795"
"73","French Polynesia","2.449","0.3086"
"74","Gabon","0.925","0.6346"
"75","Gambia","0.265","0.8676"
"76","Georgia","1.13","0.5684"
"77","Germany","5.62","0.0602"
"78","Ghana","6.149","0.043"
"79","Gibraltar","15.726","4e-04"
"80","Greece","16.425","3e-04"
"81","Greenland","2.612","0.2666"
"82","Grenada","2.216","0.3286"
"83","Guatemala","3.755","0.153"
"84","Guinea","2.786","0.2438"
"85","Guinea-Bissau","7.49","0.0258"
"86","Guyana","9.24","0.0099"
"87","Haiti","0.629","0.7316"
"88","High income","13.666","0.0011"
"89","Honduras","1.334","0.511"
"90","Hong Kong","2.122","0.3461"
"91","Hungary","1.511","0.4772"
"92","Iceland","12.349","0.0016"
"93","India","3.445","0.1786"
"94","Indonesia","1.135","0.567"
"95","Iran","24.989","0"
"96","Iraq","9.375","0.0092"
"97","Ireland","21.69","0"
"98","Isle of Man","2.302","0.3226"
"99","Israel","6.331","0.0422"
"100","Italy","3.645","0.1616"
"101","Jamaica","2.573","0.2762"
"102","Japan","33.564","0"
"103","Jordan","1.412","0.4864"
"104","Kazakhstan","4.912","0.0858"
"105","Kenya","9.038","0.0109"
"106","Kiribati","6.385","0.048"
"107","Kosovo","6.05","0.0486"
"108","Kuwait","24.557","0"
"109","Kyrgyzstan","1.525","0.4665"
"110","Laos","2.36","0.3073"
"111","Latvia","27.235","0"
"112","Lebanon","1.522","0.4671"
"113","Lesotho","0.974","0.6092"
"114","Liberia","0.933","0.629"
"115","Libya","28.853","0"
"116","Liechtenstein","3.543","0.1701"
"117","Lithuania","1.085","0.5814"
"118","Low income","0.421","0.8103"
"119","Lower middle income","17.737","1e-04"
"120","Luxembourg","7.209","0.0272"
"121","Madagascar","0.007","0.9974"
"122","Malawi","3.885","0.1434"
"123","Malaysia","21.142","0"
"124","Maldives","12.581","0.0019"
"125","Mali","0.207","0.9016"
"126","Malta","5.491","0.0642"
"127","Mauritania","1.435","0.488"
"128","Mauritius","0.037","0.9788"
"129","Mexico","0.689","0.7087"
"130","Moldova","16.864","2e-04"
"131","Monaco","5.745","0.0586"
"132","Mongolia","8.426","0.0148"
"133","Montenegro","6.489","0.039"
"134","Montserrat","8.068","0.0206"
"135","Morocco","17.035","2e-04"
"136","Mozambique","2.451","0.2937"
"137","Myanmar","19.548","1e-04"
"138","Namibia","1.402","0.496"
"139","Nepal","1.682","0.4313"
"140","Netherlands","3.558","0.1688"
"141","New Caledonia","1.92","0.3766"
"142","New Zealand","5.151","0.0761"
"143","Nicaragua","6.559","0.0358"
"144","Niger","4.132","0.1322"
"145","Nigeria","0.807","0.6681"
"146","North America","2.79","0.2478"
"147","North Macedonia","9.672","0.0079"
"148","Norway","0.545","0.7616"
"149","Oceania","31.464","0"
"150","Oman","1.621","0.4374"
"151","Pakistan","9.476","0.0088"
"152","Palau","9.095","0.0102"
"153","Palestine","2.191","0.3358"
"154","Panama","10.474","0.0053"
"155","Papua New Guinea","3.836","0.1446"
