"","Pays","T_2","P_value"
"1","Afghanistan","1.599","1"
"2","Africa","14.371","0.148"
"3","Albania","4.921","1"
"4","Algeria","2.609","1"
"5","Andorra","4.773","1"
"6","Angola","0.139","1"
"7","Anguilla","0.32","1"
"8","Antigua and Barbuda","0.146","1"
"9","Argentina","0.146","1"
"10","Armenia","10.703","0.8037"
"11","Aruba","0.308","1"
"12","Asia","99.288","0"
"13","Australia","16.357","0.0576"
"14","Austria","14.602","0.1302"
"15","Azerbaijan","8.743","1"
"16","Bahamas","1.518","1"
"17","Bahrain","10.094","1"
"18","Bangladesh","0.916","1"
"19","Barbados","2.554","1"
"20","Belarus","19.117","0.0199"
"21","Belgium","4.993","1"
"22","Belize","0.499","1"
"23","Benin","1.063","1"
"24","Bermuda","0.231","1"
"25","Bhutan","4.029","1"
"26","Bolivia","3.386","1"
"27","Bonaire Sint Eustatius and Saba","8.213","1"
"28","Bosnia and Herzegovina","0.012","1"
"29","Botswana","2.45","1"
"30","Brazil","1.498","1"
"31","British Virgin Islands","1.036","1"
"32","Brunei","2.121","1"
"33","Bulgaria","6.433","1"
"34","Burkina Faso","3.034","1"
"35","Burundi","1.25","1"
"36","Cambodia","12.878","0.288"
"37","Cameroon","1.766","1"
"38","Canada","3.568","1"
"39","Cape Verde","2.861","1"
"40","Cayman Islands","4.113","1"
"41","Central African Republic","0.237","1"
"42","Chad","3.111","1"
"43","Chile","9.327","1"
"44","China","7.659","1"
"45","Colombia","10.34","0.9633"
"46","Comoros","6.494","1"
"47","Congo","1.979","1"
"48","Cook Islands","17.467","0.1128"
"49","Costa Rica","3.946","1"
"50","Croatia","7.417","1"
"51","Cuba","39.368","0"
"52","Curacao","2.041","1"
"53","Cyprus","16.007","0.0576"
"54","Czechia","8.062","1"
"55","Democratic Republic of Congo","0.757","1"
"56","Denmark","8.889","1"
"57","Djibouti","16.094","0.1128"
"58","Dominica","2.476","1"
"59","Dominican Republic","0.162","1"
"60","Ecuador","7.15","1"
"61","Egypt","81.358","0"
"62","El Salvador","1.761","1"
"63","Equatorial Guinea","0.715","1"
"64","Eritrea","11.361","0.5848"
"65","Estonia","18.337","0.0199"
"66","Eswatini","5.881","1"
"67","Ethiopia","11.719","0.5104"
"68","Faeroe Islands","8.91","1"
"69","Falkland Islands","6.476","1"
"70","Fiji","2.103","1"
"71","Finland","11.423","0.5709"
"72","France","0.498","1"
"73","French Polynesia","2.449","1"
"74","Gabon","0.925","1"
"75","Gambia","0.265","1"
"76","Georgia","1.13","1"
"77","Germany","5.62","1"
"78","Ghana","6.149","1"
"79","Gibraltar","15.726","0.0756"
"80","Greece","16.425","0.0576"
"81","Greenland","2.612","1"
"82","Grenada","2.216","1"
"83","Guatemala","3.755","1"
"84","Guinea","2.786","1"
"85","Guinea-Bissau","7.49","1"
"86","Guyana","9.24","1"
"87","Haiti","0.629","1"
"88","High income","13.666","0.2013"
"89","Honduras","1.334","1"
"90","Hong Kong","2.122","1"
"91","Hungary","1.511","1"
"92","Iceland","12.349","0.522"
"93","India","3.445","1"
"94","Indonesia","1.135","1"
"95","Iran","24.989","0"
"96","Iraq","9.375","1"
"97","Ireland","21.69","0"
"98","Isle of Man","2.302","1"
"99","Israel","6.331","1"
"100","Italy","3.645","1"
"101","Jamaica","2.573","1"
"102","Japan","33.564","0"
"103","Jordan","1.412","1"
"104","Kazakhstan","4.912","1"
"105","Kenya","9.038","1"
"106","Kiribati","6.385","1"
"107","Kosovo","6.05","1"
"108","Kuwait","24.557","0"
"109","Kyrgyzstan","1.525","1"
"110","Laos","2.36","1"
"111","Latvia","27.235","0"
"112","Lebanon","1.522","1"
"113","Lesotho","0.974","1"
"114","Liberia","0.933","1"
"115","Libya","28.853","0"
"116","Liechtenstein","3.543","1"
"117","Lithuania","1.085","1"
"118","Low income","0.421","1"
"119","Luxembourg","7.209","1"
"120","Madagascar","0.007","1"
"121","Malawi","3.885","1"
"122","Malaysia","21.142","0"
"123","Maldives","12.581","0.3363"
"124","Mali","0.207","1"
"125","Malta","5.491","1"
"126","Mauritania","1.435","1"
"127","Mauritius","0.037","1"
"128","Mexico","0.689","1"
"129","Moldova","16.864","0.0388"
"130","Monaco","5.745","1"
"131","Mongolia","8.426","1"
"132","Montenegro","6.489","1"
"133","Montserrat","8.068","1"
"134","Morocco","17.035","0.0388"
"135","Mozambique","2.451","1"
"136","Myanmar","19.548","0.0199"
"137","Namibia","1.402","1"
"138","Nepal","1.682","1"
"139","Netherlands","3.558","1"
"140","New Caledonia","1.92","1"
"141","New Zealand","5.151","1"
"142","Nicaragua","6.559","1"
"143","Niger","4.132","1"
"144","Nigeria","0.807","1"
"145","North America","2.79","1"
"146","North Macedonia","9.672","1"
"147","Norway","0.545","1"
"148","Oceania","31.464","0"
"149","Oman","1.621","1"
"150","Pakistan","9.476","1"
"151","Palau","9.095","1"
"152","Palestine","2.191","1"
"153","Panama","10.474","0.901"
"154","Papua New Guinea","3.836","1"
"155","Paraguay","1.241","1"
"156","Peru","0.566","1"
"157","Philippines","3.937","1"
"158","Poland","18.842","0.0199"
"159","Portugal","6.203","1"
"160","Qatar","22.296","0"
"161","Romania","2.334","1"
"162","Russia","24.994","0"
"163","Rwanda","0.459","1"
"164","Saint Kitts and Nevis","2.961","1"
"165","Saint Lucia","0.502","1"
"166","Saint Pierre and Miquelon","2.991","1"
"167","Saint Vincent and the Grenadines","8.019","1"
"168","Samoa","0.981","1"
"169","San Marino","1.639","1"
"170","Sao Tome and Principe","9.418","1"
"171","Saudi Arabia","0.537","1"
"172","Senegal","0.378","1"
"173","Serbia","52.819","0"
"174","Seychelles","5.157","1"
"175","Sierra Leone","2.598","1"
"176","Singapore","0.873","1"
"177","Slovakia","3.415","1"
"178","Slovenia","7.191","1"
"179","Solomon Islands","0.628","1"
"180","Somalia","1.297","1"
"181","South Africa","13.119","0.2548"
"182","South America","4.335","1"
"183","South Korea","13.121","0.2548"
"184","South Sudan","0.421","1"
"185","Spain","2.165","1"
"186","Sri Lanka","12.911","0.288"
"187","Sudan","2.165","1"
"188","Suriname","1.576","1"
"189","Sweden","5.79","1"
"190","Switzerland","2.149","1"
"191","Syria","14.114","0.1656"
"192","Taiwan","18.496","0.0199"
"193","Tajikistan","2.58","1"
"194","Tanzania","0.664","1"
"195","Thailand","0.948","1"
"196","Timor","0.827","1"
"197","Togo","0.688","1"
"198","Tonga","1.519","1"
"199","Trinidad and Tobago","41.511","0"
"200","Tunisia","0.248","1"
"201","Turkey","12.823","0.288"
"202","Turks and Caicos Islands","3.674","1"
"203","Uganda","4.38","1"
"204","Ukraine","1.83","1"
"205","United Arab Emirates","11.662","0.5104"
"206","United Kingdom","28.201","0"
"207","United States","3.034","1"
"208","Upper middle income","3.76","1"
"209","Uruguay","4.307","1"
"210","Uzbekistan","10.269","0.9912"
"211","Vanuatu","6.146","1"
"212","Venezuela","1.206","1"
"213","Vietnam","56.115","0"
"214","Yemen","0.271","1"
"215","Zambia","4.704","1"
"216","Zimbabwe","1.974","1"
