Page: 1

Table: Table_1
Location ,N ,GHSI Score ,GHSI Rank ,d* ,x2 ,p- value ,K-S Statistic ,Cut-off ,Difference ,LDI ,LD2 ,LD3 ,LD4 ,LD5 ,LD6 ,LD7 ,LD8 ,LD9 ,
Afghanistan ,324 ,32.3 ,130 ,0.05892 ,3.82103 ,0.14800 ,0.03557 ,0.07556 ,0.47075 ,0.26543 ,0.17901 ,0.16049 ,0.09259 ,0.09877 ,0.06481 ,0.07407 ,0.03395 ,0.03086 ,
Albania ,324 ,52.9 ,39 ,0.11825 ,16.44921 ,0.00027 ,0.10332 ,0.07556 ,1.36748 ,0.40432 ,0.15432 ,0.07716 ,0.10494 ,0.06790 ,0.08642 ,0.03086 ,0.03704 ,0.03704 ,
Algeria ,393 ,23.6 ,173 ,0.12858 ,42.30935 ,0.00000 ,0.09607 ,0.06860 ,1.40032 ,0.36387 ,0.09160 ,0.06616 ,0.08142 ,0.07888 ,0.07634 ,0.07125 ,0.0865 ,0.08397 ,
Andorra ,140 ,30.5 ,143 ,0.18386 ,20.75460 ,0.00003 ,0.18014 ,0.11494 ,1.56726 ,0.47143 ,0.18571 ,0.11429 ,0.07857 ,0.02143 ,0.01429 ,0.04286 ,0.04286 ,0.02857 ,
Angola ,200 ,25.2 ,170 ,0.08443 ,6.21099 ,0.04480 ,0.07300 ,0.09617 ,0.75910 ,0.31500 ,0.23500 ,0.12000 ,0.06500 ,0.11500 ,0.04500 ,0.05000 ,0.04000 ,0.01500 ,
Argentina ,580 ,58.6 ,25 ,0.09043 ,20.11116 ,0.00004 ,0.07314 ,0.05647 ,1.29514 ,0.37414 ,0.16379 ,0.08448 ,0.07586 ,0.06552 ,0.05172 ,0.08448 ,0.04655 ,0.05345 ,
Armenia ,363 ,50.2 ,44 ,0.05166 ,2.94749 ,0.22907 ,0.04741 ,0.07138 ,0.66422 ,0.31680 ,0.15427 ,0.14325 ,0.10468 ,0.09642 ,0.06887 ,0.06612 ,0.03857 ,0.01102 ,
Aruba ,107 ,- ,- ,0.12508 ,6.58341 ,0.03719 ,0.09152 ,0.13148 ,0.69612 ,0.35514 ,0.16822 ,0.06542 ,0.01869 ,0.10280 ,0.04673 ,0.0841 ,0.06542 ,0.09346 ,
Australia ,497 ,75.5 ,4 ,0.02922 ,3.07255 ,0.21518 ,0.03085 ,0.06100 ,0.50575 ,0.30181 ,0.17304 ,0.12676 ,0.11871 ,0.08853 ,0.06439 ,0.04427 ,0.04829 ,0.03421 ,
Austria ,533 ,58.5 ,26 ,0.06698 ,5.26173 ,0.07202 ,0.05923 ,0.05891 ,1.00538 ,0.29268 ,0.14822 ,0.13321 ,0.06567 ,0.09756 ,0.11069 ,0.07129 ,0.05629 ,0.02439 ,
Azerbaijan ,352 ,34.2 ,117 ,0.06277 ,1.23754 ,0.53861 ,0.03382 ,0.07249 ,0.46653 ,0.28977 ,0.15341 ,0.16761 ,0.07386 ,0.11080 ,0.06534 ,0.06250 ,0.03977 ,0.03693 ,
Bahamas ,156 ,30.6 ,142 ,0.09218 ,8.61333 ,0.01348 ,0.10228 ,0.10889 ,0.93934 ,0.36538 ,0.16026 ,0.14744 ,0.12821 ,0.07051 ,0.05769 ,0.02564 ,0.00641 ,0.03846 ,
Bahrain ,448 ,39.4 ,88 ,0.11430 ,22.30074 ,0.00001 ,0.10234 ,0.06425 ,1.59273 ,0.19866 ,0.18080 ,0.15179 ,0.10938 ,0.10491 ,0.07143 ,0.09375 ,0.02902 ,0.06027 ,
Bangladesh ,561 ,35 ,113 ,0.10775 ,43.06962 ,0.00000 ,0.13344 ,0.05742 ,2.32400 ,0.34046 ,0.18538 ,0.20856 ,0.09804 ,0.0606 ,0.02852 ,0.03030 ,0.02139 ,0.02674 ,
Belarus ,413 ,35.3 ,108 ,0.17037 ,25.50544 ,0.00000 ,0.22185 ,0.06692 ,3.31516 ,0.22276 ,0.07264 ,0.08475 ,0.13801 ,0.16465 ,0.10169 ,0.05327 ,0.07022 ,0.09201 ,
