"","Pays","T_2","P_value"
"1","Afghanistan","1.599","1"
"2","Albania","4.921","1"
"3","Algeria","2.609","1"
"4","Andorra","4.773","1"
"5","Angola","0.139","1"
"6","Anguilla","0.32","1"
"7","Antigua and Barbuda","0.146","1"
"8","Argentina","0.146","1"
"9","Armenia","10.703","0.134"
"10","Aruba","0.308","1"
"11","Azerbaijan","8.743","0.269"
"12","Bahamas","1.518","1"
"13","Bahrain","10.094","0.167"
"14","Bangladesh","0.916","1"
"15","Barbados","2.554","1"
"16","Belgium","4.993","1"
"17","Belize","0.499","1"
"18","Benin","1.063","1"
"19","Bermuda","0.231","1"
"20","Bhutan","4.029","1"
"21","Bolivia","3.386","1"
"22","Bonaire Sint Eustatius and Saba","8.213","0.34"
"23","Bosnia and Herzegovina","0.012","1"
"24","Botswana","2.45","1"
"25","Brazil","1.498","1"
"26","British Virgin Islands","1.036","1"
"27","Brunei","2.121","1"
"28","Bulgaria","6.433","0.666"
"29","Burkina Faso","3.034","1"
"30","Burundi","1.25","1"
"31","Cambodia","12.878","0.054"
"32","Cameroon","1.766","1"
"33","Canada","3.568","1"
"34","Cape Verde","2.861","1"
"35","Cayman Islands","4.113","1"
"36","Central African Republic","0.237","1"
"37","Chad","3.111","1"
"38","Chile","9.327","0.219"
"39","China","7.659","0.414"
"40","Colombia","10.34","0.155"
"41","Comoros","6.494","0.652"
"42","Congo","1.979","1"
"43","Costa Rica","3.946","1"
"44","Croatia","7.417","0.461"
"45","Curacao","2.041","1"
"46","Czechia","8.062","0.361"
"47","Democratic Republic of Congo","0.757","1"
"48","Denmark","8.889","0.254"
"49","Dominica","2.476","1"
"50","Dominican Republic","0.162","1"
"51","Ecuador","7.15","0.489"
"52","El Salvador","1.761","1"
"53","Equatorial Guinea","0.715","1"
"54","Eritrea","11.361","0.099"
"55","Eswatini","5.881","0.814"
"56","Ethiopia","11.719","0.088"
"57","Faeroe Islands","8.91","0.238"
"58","Falkland Islands","6.476","0.643"
"59","Fiji","2.103","1"
"60","Finland","11.423","0.098"
"61","France","0.498","1"
"62","French Polynesia","2.449","1"
"63","Gabon","0.925","1"
"64","Gambia","0.265","1"
"65","Georgia","1.13","1"
"66","Germany","5.62","0.896"
"67","Ghana","6.149","0.736"
"68","Greenland","2.612","1"
"69","Grenada","2.216","1"
"70","Guatemala","3.755","1"
"71","Guinea","2.786","1"
"72","Guinea-Bissau","7.49","0.414"
"73","Guyana","9.24","0.226"
"74","Haiti","0.629","1"
"75","Honduras","1.334","1"
"76","Hong Kong","2.122","1"
"77","Hungary","1.511","1"
"78","Iceland","12.349","0.064"
"79","India","3.445","1"
"80","Indonesia","1.135","1"
"81","Iraq","9.375","0.218"
"82","Isle of Man","2.302","1"
"83","Israel","6.331","0.692"
"84","Italy","3.645","1"
"85","Jamaica","2.573","1"
"86","Jordan","1.412","1"
"87","Kazakhstan","4.912","1"
"88","Kenya","9.038","0.24"
"89","Kiribati","6.385","0.652"
"90","Kosovo","6.05","0.758"
"91","Kyrgyzstan","1.525","1"
"92","Laos","2.36","1"
"93","Lebanon","1.522","1"
"94","Lesotho","0.974","1"
"95","Liberia","0.933","1"
"96","Liechtenstein","3.543","1"
"97","Lithuania","1.085","1"
"98","Low income","0.421","1"
"99","Luxembourg","7.209","0.494"
"100","Madagascar","0.007","1"
"101","Malawi","3.885","1"
"102","Maldives","12.581","0.062"
"103","Mali","0.207","1"
"104","Malta","5.491","0.944"
"105","Mauritania","1.435","1"
"106","Mauritius","0.037","1"
"107","Mexico","0.689","1"
"108","Monaco","5.745","0.882"
"109","Mongolia","8.426","0.31"
"110","Montenegro","6.489","0.656"
"111","Montserrat","8.068","0.37"
"112","Mozambique","2.451","1"
"113","Namibia","1.402","1"
"114","Nepal","1.682","1"
"115","Netherlands","3.558","1"
"116","New Caledonia","1.92","1"
"117","New Zealand","5.151","1"
"118","Nicaragua","6.559","0.645"
"119","Niger","4.132","1"
"120","Nigeria","0.807","1"
"121","North America","2.79","1"
"122","North Macedonia","9.672","0.202"
"123","Norway","0.545","1"
"124","Oman","1.621","1"
"125","Pakistan","9.476","0.216"
"126","Palau","9.095","0.218"
"127","Palestine","2.191","1"
"128","Panama","10.474","0.147"
"129","Papua New Guinea","3.836","1"
"130","Paraguay","1.241","1"
"131","Peru","0.566","1"
"132","Philippines","3.937","1"
"133","Portugal","6.203","0.726"
"134","Romania","2.334","1"
"135","Rwanda","0.459","1"
"136","Saint Kitts and Nevis","2.961","1"
"137","Saint Lucia","0.502","1"
"138","Saint Pierre and Miquelon","2.991","1"
"139","Saint Vincent and the Grenadines","8.019","0.368"
"140","Samoa","0.981","1"
"141","San Marino","1.639","1"
"142","Sao Tome and Principe","9.418","0.216"
"143","Saudi Arabia","0.537","1"
"144","Senegal","0.378","1"
"145","Seychelles","5.157","1"
"146","Sierra Leone","2.598","1"
"147","Singapore","0.873","1"
"148","Slovakia","3.415","1"
"149","Slovenia","7.191","0.494"
"150","Solomon Islands","0.628","1"
"151","Somalia","1.297","1"
"152","South Africa","13.119","0.051"
"153","South America","4.335","1"
"154","South Korea","13.121","0.051"
"155","South Sudan","0.421","1"
"156","Spain","2.165","1"
"157","Sri Lanka","12.911","0.054"
"158","Sudan","2.165","1"
"159","Suriname","1.576","1"
"160","Sweden","5.79","0.853"
"161","Switzerland","2.149","1"
"162","Tajikistan","2.58","1"
"163","Tanzania","0.664","1"
