"","Pays","T_2","P_value"
"1","Africa","14.371","8e-04"
"2","Armenia","10.703","0.0047"
"3","Asia","99.288","0"
"4","Australia","16.357","3e-04"
"5","Austria","14.602","7e-04"
"6","Azerbaijan","8.743","0.0126"
"7","Bahrain","10.094","0.0064"
"8","Belarus","19.117","1e-04"
"9","Bonaire Sint Eustatius and Saba","8.213","0.0165"
"10","Bulgaria","6.433","0.0401"
"11","Cambodia","12.878","0.0016"
"12","Chile","9.327","0.0094"
"13","China","7.659","0.0217"
"14","Colombia","10.34","0.0057"
"15","Comoros","6.494","0.0414"
"16","Cook Islands","17.467","0"
"17","Croatia","7.417","0.0245"
"18","Cuba","39.368","0"
"19","Cyprus","16.007","3e-04"
"20","Czechia","8.062","0.0178"
"21","Denmark","8.889","0.0117"
"22","Djibouti","16.094","0"
"23","Ecuador","7.15","0.0262"
"24","Egypt","81.358","0"
"25","Eritrea","11.361","0.0034"
"26","Estonia","18.337","1e-04"
"27","Ethiopia","11.719","0.0029"
"28","Faeroe Islands","8.91","0.0114"
"29","Falkland Islands","6.476","0.0398"
"30","Finland","11.423","0.0033"
"31","Ghana","6.149","0.043"
"32","Gibraltar","15.726","4e-04"
"33","Greece","16.425","3e-04"
"34","Guinea-Bissau","7.49","0.0258"
"35","Guyana","9.24","0.0099"
"36","High income","13.666","0.0011"
"37","Iceland","12.349","0.0016"
"38","Iran","24.989","0"
"39","Iraq","9.375","0.0092"
"40","Ireland","21.69","0"
"41","Israel","6.331","0.0422"
"42","Japan","33.564","0"
"43","Kenya","9.038","0.0109"
"44","Kiribati","6.385","0.048"
"45","Kosovo","6.05","0.0486"
"46","Kuwait","24.557","0"
"47","Latvia","27.235","0"
"48","Libya","28.853","0"
"49","Lower middle income","17.737","1e-04"
"50","Luxembourg","7.209","0.0272"
"51","Malaysia","21.142","0"
"52","Maldives","12.581","0.0019"
"53","Moldova","16.864","2e-04"
"54","Mongolia","8.426","0.0148"
"55","Montenegro","6.489","0.039"
"56","Montserrat","8.068","0.0206"
"57","Morocco","17.035","2e-04"
"58","Myanmar","19.548","1e-04"
"59","Nicaragua","6.559","0.0358"
"60","North Macedonia","9.672","0.0079"
"61","Oceania","31.464","0"
"62","Pakistan","9.476","0.0088"
"63","Palau","9.095","0.0102"
"64","Panama","10.474","0.0053"
"65","Poland","18.842","1e-04"
"66","Portugal","6.203","0.045"
"67","Qatar","22.296","0"
"68","Russia","24.994","0"
"69","Saint Vincent and the Grenadines","8.019","0.0174"
"70","Sao Tome and Principe","9.418","0.009"
"71","Serbia","52.819","0"
"72","Slovenia","7.191","0.0274"
"73","South Africa","13.119","0.0014"
"74","South Korea","13.121","0.0014"
"75","Sri Lanka","12.911","0.0016"
"76","Syria","14.114","9e-04"
"77","Taiwan","18.496","1e-04"
"78","Trinidad and Tobago","41.511","0"
"79","Turkey","12.823","0.0016"
"80","United Arab Emirates","11.662","0.0029"
"81","United Kingdom","28.201","0"
"82","Uzbekistan","10.269","0.0059"
"83","Vanuatu","6.146","0.0466"
"84","Vietnam","56.115","0"
