"","Pays","T_2","P_value"
"1","Afghanistan","1.599","1"
"2","Africa","14.371","0.032"
"3","Albania","4.921","1"
"4","Algeria","2.609","1"
"5","Andorra","4.773","1"
"6","Angola","0.139","1"
"7","Anguilla","0.32","1"
"8","Antigua and Barbuda","0.146","1"
"9","Argentina","0.146","1"
"10","Armenia","10.703","0.134"
"11","Aruba","0.308","1"
"12","Asia","99.288","0"
"13","Australia","16.357","0.014"
"14","Austria","14.602","0.029"
"15","Azerbaijan","8.743","0.269"
"16","Bahamas","1.518","1"
"17","Bahrain","10.094","0.167"
"18","Bangladesh","0.916","1"
"19","Barbados","2.554","1"
"20","Belarus","19.117","0.006"
"21","Belgium","4.993","1"
"22","Belize","0.499","1"
"23","Benin","1.063","1"
"24","Bermuda","0.231","1"
"25","Bhutan","4.029","1"
"26","Bolivia","3.386","1"
"27","Bonaire Sint Eustatius and Saba","8.213","0.335"
"28","Bosnia and Herzegovina","0.012","1"
"29","Botswana","2.45","1"
"30","Brazil","1.498","1"
"31","British Virgin Islands","1.036","1"
"32","Brunei","2.121","1"
"33","Bulgaria","6.433","0.675"
"34","Burkina Faso","3.034","1"
"35","Burundi","1.25","1"
"36","Cambodia","12.878","0.052"
"37","Cameroon","1.766","1"
"38","Canada","3.568","1"
"39","Cape Verde","2.861","1"
"40","Cayman Islands","4.113","1"
"41","Central African Republic","0.237","1"
"42","Chad","3.111","1"
"43","Chile","9.327","0.223"
"44","China","7.659","0.421"
"45","Colombia","10.34","0.155"
"46","Comoros","6.494","0.625"
"47","Congo","1.979","1"
"48","Cook Islands","17.467","0.01"
"49","Costa Rica","3.946","1"
"50","Croatia","7.417","0.468"
"51","Cuba","39.368","0"
"52","Curacao","2.041","1"
"53","Cyprus","16.007","0.014"
"54","Czechia","8.062","0.356"
"55","Democratic Republic of Congo","0.757","1"
"56","Denmark","8.889","0.258"
"57","Djibouti","16.094","0.017"
"58","Dominica","2.476","1"
"59","Dominican Republic","0.162","1"
"60","Ecuador","7.15","0.526"
"61","Egypt","81.358","0"
"62","El Salvador","1.761","1"
"63","Equatorial Guinea","0.715","1"
"64","Eritrea","11.361","0.099"
"65","Estonia","18.337","0.006"
"66","Eswatini","5.881","0.814"
"67","Ethiopia","11.719","0.088"
"68","Faeroe Islands","8.91","0.269"
"69","Falkland Islands","6.476","0.675"
"70","Fiji","2.103","1"
"71","Finland","11.423","0.098"
"72","France","0.498","1"
"73","French Polynesia","2.449","1"
"74","Gabon","0.925","1"
"75","Gambia","0.265","1"
"76","Georgia","1.13","1"
"77","Germany","5.62","0.896"
"78","Ghana","6.149","0.729"
"79","Gibraltar","15.726","0.017"
"80","Greece","16.425","0.014"
"81","Greenland","2.612","1"
"82","Grenada","2.216","1"
"83","Guatemala","3.755","1"
"84","Guinea","2.786","1"
"85","Guinea-Bissau","7.49","0.485"
"86","Guyana","9.24","0.226"
"87","Haiti","0.629","1"
"88","Honduras","1.334","1"
"89","Hong Kong","2.122","1"
"90","Hungary","1.511","1"
"91","Iceland","12.349","0.05"
"92","India","3.445","1"
"93","Indonesia","1.135","1"
"94","Iran","24.989","0"
"95","Iraq","9.375","0.223"
"96","Ireland","21.69","0"
"97","Isle of Man","2.302","1"
"98","Israel","6.331","0.701"
"99","Italy","3.645","1"
"100","Jamaica","2.573","1"
"101","Japan","33.564","0"
"102","Jordan","1.412","1"
"103","Kazakhstan","4.912","1"
"104","Kenya","9.038","0.245"
"105","Kiribati","6.385","0.749"
"106","Kosovo","6.05","0.758"
"107","Kuwait","24.557","0"
"108","Kyrgyzstan","1.525","1"
"109","Laos","2.36","1"
"110","Latvia","27.235","0"
"111","Lebanon","1.522","1"
"112","Lesotho","0.974","1"
"113","Liberia","0.933","1"
"114","Libya","28.853","0"
"115","Liechtenstein","3.543","1"
"116","Lithuania","1.085","1"
"117","Low income","0.421","1"
"118","Luxembourg","7.209","0.501"
"119","Madagascar","0.007","1"
"120","Malawi","3.885","1"
"121","Malaysia","21.142","0"
"122","Maldives","12.581","0.061"
"123","Mali","0.207","1"
"124","Malta","5.491","0.944"
"125","Mauritania","1.435","1"
"126","Mauritius","0.037","1"
"127","Mexico","0.689","1"
"128","Moldova","16.864","0.01"
"129","Monaco","5.745","0.888"
"130","Mongolia","8.426","0.31"
"131","Montenegro","6.489","0.675"
"132","Montserrat","8.068","0.366"
"133","Morocco","17.035","0.01"
"134","Mozambique","2.451","1"
"135","Myanmar","19.548","0.006"
"136","Namibia","1.402","1"
"137","Nepal","1.682","1"
"138","Netherlands","3.558","1"
"139","New Caledonia","1.92","1"
"140","New Zealand","5.151","1"
"141","Nicaragua","6.559","0.675"
"142","Niger","4.132","1"
"143","Nigeria","0.807","1"
"144","North America","2.79","1"
"145","North Macedonia","9.672","0.202"
"146","Norway","0.545","1"
"147","Oceania","31.464","0"
"148","Oman","1.621","1"
"149","Pakistan","9.476","0.221"
"150","Palau","9.095","0.223"
"151","Palestine","2.191","1"
"152","Panama","10.474","0.147"
"153","Papua New Guinea","3.836","1"
"154","Paraguay","1.241","1"
"155","Peru","0.566","1"
"156","Philippines","3.937","1"
"157","Poland","18.842","0.006"
"158","Portugal","6.203","0.729"
"159","Qatar","22.296","0"
"160","Romania","2.334","1"
"161","Russia","24.994","0"
"162","Rwanda","0.459","1"
"163","Saint Kitts and Nevis","2.961","1"
"164","Saint Lucia","0.502","1"
"165","Saint Pierre and Miquelon","2.991","1"
"166","Saint Vincent and the Grenadines","8.019","0.322"
"167","Samoa","0.981","1"
"168","San Marino","1.639","1"
"169","Sao Tome and Principe","9.418","0.226"
"170","Saudi Arabia","0.537","1"
"171","Senegal","0.378","1"
"172","Serbia","52.819","0"
"173","Seychelles","5.157","1"
"174","Sierra Leone","2.598","1"
"175","Singapore","0.873","1"
"176","Slovakia","3.415","1"
"177","Slovenia","7.191","0.501"
"178","Solomon Islands","0.628","1"
"179","Somalia","1.297","1"
"180","South Africa","13.119","0.05"
"181","South America","4.335","1"
"182","South Korea","13.121","0.05"
"183","South Sudan","0.421","1"
"184","Spain","2.165","1"
"185","Sri Lanka","12.911","0.052"
"186","Sudan","2.165","1"
"187","Suriname","1.576","1"
"188","Sweden","5.79","0.841"
"189","Switzerland","2.149","1"
"190","Syria","14.114","0.035"
"191","Taiwan","18.496","0.006"
"192","Tajikistan","2.58","1"
"193","Tanzania","0.664","1"
"194","Thailand","0.948","1"
"195","Timor","0.827","1"
"196","Togo","0.688","1"
"197","Tonga","1.519","1"
"198","Trinidad and Tobago","41.511","0"
"199","Tunisia","0.248","1"
"200","Turkey","12.823","0.052"
"201","Turks and Caicos Islands","3.674","1"
"202","Uganda","4.38","1"
"203","Ukraine","1.83","1"
"204","United Arab Emirates","11.662","0.088"
"205","United Kingdom","28.201","0"
"206","United States","3.034","1"
"207","Upper middle income","3.76","1"
"208","Uruguay","4.307","1"
"209","Uzbekistan","10.269","0.157"
"210","Vanuatu","6.146","0.749"
"211","Venezuela","1.206","1"
"212","Vietnam","56.115","0"
"213","Yemen","0.271","1"
"214","Zambia","4.704","1"
"215","Zimbabwe","1.974","1"
