"","Pays","T_2","P_value"
"1","Afghanistan","2.76049227261662","1"
"2","Africa","15.7383616752578","0.016"
"3","Albania","5.53331743471751","0.914"
"4","Algeria","4.48121463897738","1"
"5","Andorra","4.32082284182541","1"
"6","Angola","0.40917425945613","1"
"7","Anguilla","0.82887037571295","1"
"8","Antigua and Barbuda","0.934944230043591","1"
"9","Argentina","0.229801587617364","1"
"10","Armenia","9.29204002157186","0.205"
"11","Aruba","0.690627583320025","1"
"12","Asia","96.3269774458272","0"
"13","Australia","17.6714323723405","0.007"
"14","Austria","13.3048882968866","0.043"
"15","Azerbaijan","9.38611156240129","0.203"
"16","Bahamas","2.65318498907823","1"
"17","Bahrain","9.96272311552793","0.16"
"18","Bangladesh","1.79277369517352","1"
"19","Barbados","2.33504132108899","1"
"20","Belarus","13.9351360792372","0.034"
"21","Belgium","3.56202488684974","1"
"22","Belize","0.52428452886458","1"
"23","Benin","1.58420071780097","1"
"24","Bermuda","1.37099457611436","1"
"25","Bhutan","4.75957852200847","1"
"26","Bolivia","3.0846448785312","1"
"27","Bonaire Sint Eustatius and Saba","8.93030080715576","0.237"
"28","Bosnia and Herzegovina","0.068531317923321","1"
"29","Botswana","2.3812434390729","1"
"30","Brazil","1.26972410642187","1"
"31","British Virgin Islands","1.61720350174542","1"
"32","Brunei","2.67071752684317","1"
"33","Bulgaria","5.47713913908213","0.929"
"34","Burkina Faso","1.64745706165615","1"
"35","Burundi","1.48183677687752","1"
"36","Cambodia","14.101750250137","0.033"
"37","Cameroon","1.90042947973518","1"
"38","Canada","3.65217225071408","1"
"39","Cape Verde","10.3426354272281","0.14"
"40","Cayman Islands","4.0136694040381","1"
"41","Central African Republic","0.110134889825627","1"
"42","Chad","3.25386086831806","1"
"43","Chile","7.10822189140476","0.482"
"44","China","9.36278007953851","0.203"
"45","Colombia","10.6526788104944","0.124"
"46","Comoros","13.5576116669018","0.039"
"47","Congo","1.07165720722871","1"
"48","Cook Islands","18.1391496944559","0.009"
"49","Costa Rica","2.86504798653154","1"
"50","Croatia","7.73277029805597","0.377"
"51","Cuba","39.1594327451487","0"
"52","Curacao","2.42990822948442","1"
"53","Cyprus","20.6814554280026","0.003"
"54","Czechia","6.57352100987579","0.591"
"55","Democratic Republic of Congo","0.735844894985985","1"
"56","Denmark","8.40246611980359","0.291"
"57","Djibouti","31.8344228507747","0"
"58","Dominica","3.41937186361093","1"
"59","Dominican Republic","0.128471475632828","1"
"60","Ecuador","8.24852830547943","0.309"
"61","Egypt","72.4775711144376","0"
"62","El Salvador","1.77067650772985","1"
"63","Equatorial Guinea","0.541631612795369","1"
