"","Pays","T_2","P_value"
"1","Africa","15.738","0.016"
"2","Asia","96.327","0"
"3","Australia","17.671","0.007"
"4","Austria","13.305","0.044"
"5","Belarus","13.935","0.034"
"6","Cambodia","14.102","0.033"
"7","Comoros","13.558","0.04"
"8","Cook Islands","18.139","0.014"
"9","Cuba","39.159","0"
"10","Cyprus","20.681","0.003"
"11","Djibouti","31.834","0"
"12","Egypt","72.478","0"
"13","Eritrea","17.751","0.007"
"14","Estonia","17.796","0.007"
"15","Gibraltar","18.043","0.007"
"16","Iran","23.575","0.001"
"17","Ireland","20.235","0.003"
"18","Japan","30.688","0"
"19","Kuwait","27.21","0"
"20","Latvia","29.333","0"
"21","Libya","27.72","0"
"22","Malaysia","21.719","0.002"
"23","Moldova","18.425","0.006"
"24","Montserrat","17.314","0.017"
"25","Morocco","14.808","0.024"
"26","Myanmar","16.104","0.014"
"27","Oceania","34.985","0"
"28","Poland","19.698","0.004"
"29","Qatar","18.294","0.006"
"30","Russia","20.552","0.003"
"31","Sao Tome and Principe","17.639","0.007"
"32","Serbia","47.553","0"
"33","South Korea","14.889","0.023"
"34","Sri Lanka","13.263","0.044"
"35","Taiwan","16.282","0.014"
"36","Trinidad and Tobago","41.847","0"
"37","United Kingdom","27.431","0"
"38","Vietnam","45.682","0"
